"date","value"
"20181231",0.98
"20190101",""
"20190102",0.96
"20190103",0.88
"20190104",0.91
"20190107",0.92
"20190108",0.91
"20190109",0.91
"20190110",0.93
"20190111",0.88
"20190114",0.9
"20190115",0.91
"20190116",0.91
"20190117",0.96
"20190118",0.96
"20190121",""
"20190122",0.95
"20190123",0.96
"20190124",0.95
"20190125",0.97
"20190128",0.97
"20190129",0.94
"20190130",0.86
"20190131",0.78
"20190201",0.82
"20190204",0.86
"20190205",0.84
"20190206",0.84
"20190207",0.81
"20190208",0.81
"20190211",0.83
"20190212",0.85
"20190213",0.85
"20190214",0.81
"20190215",0.8
"20190218",""
"20190219",0.78
"20190220",0.76
"20190221",0.78
"20190222",0.74
"20190225",0.75
"20190226",0.72
"20190227",0.76
"20190228",0.78
"20190301",0.8
"20190304",0.78
"20190305",0.79
"20190306",0.78
"20190307",0.74
"20190308",0.72
"20190311",0.73
"20190312",0.71
"20190313",0.69
"20190314",0.69
"20190315",0.65
"20190318",0.64
"20190319",0.66
"20190320",0.58
"20190321",0.58
"20190322",0.54
"20190325",0.55
"20190326",0.55
"20190327",0.55
"20190328",0.56
"20190329",0.53
"20190401",0.59
"20190402",0.58
"20190403",0.61
"20190404",0.61
"20190405",0.6
"20190408",0.61
"20190409",0.6
"20190410",0.54
"20190411",0.57
"20190412",0.61
"20190415",0.61
"20190416",0.64
"20190417",0.65
"20190418",0.62
"20190419",""
"20190422",0.64
"20190423",0.62
"20190424",0.57
"20190425",0.56
"20190426",0.54
"20190429",0.58
"20190430",0.56
"20190501",0.59
"20190502",0.66
"20190503",0.63
"20190506",0.6
"20190507",0.58
"20190508",0.62
"20190509",0.6
"20190510",0.59
"20190513",0.55
"20190514",0.56
"20190515",0.54
"20190516",0.56
"20190517",0.58
"20190520",0.6
"20190521",0.6
"20190522",0.6
"20190523",0.58
"20190524",0.56
"20190527",""
"20190528",0.53
"20190529",0.5
"20190530",0.48
"20190531",0.4
"20190603",0.34
"20190604",0.38
"20190605",0.37
"20190606",0.39
"20190607",0.35
"20190610",0.42
"20190611",0.43
"20190612",0.42
"20190613",0.42
"20190614",0.46
"20190617",0.48
"20190618",0.42
"20190619",0.36
"20190620",0.27
"20190621",0.34
"20190624",0.31
"20190625",0.33
"20190626",0.35
"20190627",0.33
"20190628",0.31
"20190701",0.34
"20190702",0.33
"20190703",0.31
"20190704",""
"20190705",0.35
"20190708",0.35
"20190709",0.36
"20190710",0.33
"20190711",0.36
"20190712",0.35
"20190715",0.32
"20190716",0.33
"20190717",0.31
"20190718",0.25
"20190719",0.25
"20190722",0.26
"20190723",0.27
"20190724",0.26
"20190725",0.28
"20190726",0.3
"20190729",0.29
"20190730",0.28
"20190731",0.26
"20190801",0.2
"20190802",0.2
"20190805",0.15
"20190806",0.11
"20190807",0.09
"20190808",0.07
"20190809",0.08
"20190812",0.04
"20190813",0.05
"20190814",0.02
"20190815",-0.02
"20190816",0.01
"20190819",0.04
"20190820",0.02
"20190821",0.05
"20190822",0.07
"20190823",-0.02
"20190826",0.0
"20190827",-0.06
"20190828",-0.08
"20190829",-0.09
"20190830",-0.05
"20190902",""
"20190903",-0.03
"20190904",-0.04
"20190905",0.01
"20190906",0.01
"20190909",0.06
"20190910",0.12
"20190911",0.15
"20190912",0.16
"20190913",0.23
"20190916",0.17
"20190917",0.15
"20190918",0.21
"20190919",0.18
"20190920",0.13
"20190923",0.11
"20190924",0.06
"20190925",0.13
"20190926",0.13
"20190927",0.16
"20190930",0.15
"20191001",0.13
"20191002",0.1
"20191003",0.06
"20191004",0.02
"20191007",0.05
"20191008",0.06
"20191009",0.1
"20191010",0.15
"20191011",0.2
"20191014",""
"20191015",0.21
"20191016",0.18
"20191017",0.17
"20191018",0.16
"20191021",0.19
"20191022",0.17
"20191023",0.16
"20191024",0.15
"20191025",0.15
"20191028",0.21
"20191029",0.23
"20191030",0.21
"20191031",0.15
"20191101",0.14
"20191104",0.15
"20191105",0.18
"20191106",0.15
"20191107",0.23
"20191108",0.23
"20191111",""
"20191112",0.22
"20191113",0.22
"20191114",0.2
"20191115",0.21
"20191118",0.18
"20191119",0.16
"20191120",0.13
"20191121",0.14
"20191122",0.15
"20191125",0.14
"20191126",0.12
"20191127",0.14
"20191128",""
"20191129",0.17
"20191202",0.18
"20191203",0.09
"20191204",0.11
"20191205",0.13
"20191206",0.15
"20191209",0.14
"20191210",0.14
"20191211",0.1
"20191212",0.18
"20191213",0.12
"20191216",0.16
"20191217",0.14
"20191218",0.16
"20191219",0.15
"20191220",0.15
"20191223",0.18
"20191224",0.15
"20191225",""
"20191226",0.16
"20191227",0.15
"20191230",0.15
"20191231",0.15
"20200101",""
"20200102",0.08
"20200103",0.03
"20200106",0.06
"20200107",0.09
"20200108",0.12
"20200109",0.11
"20200110",0.07
"20200113",0.08
"20200114",0.05
"20200115",0.04
"20200116",0.07
"20200117",0.09
"20200120",""
"20200121",0.04
"20200122",0.05
"20200123",0.04
"20200124",0.02
"20200127",-0.02
"20200128",0.0
"20200129",-0.04
"20200130",-0.07
"20200131",-0.14
"20200203",-0.09
"20200204",-0.03
"20200205",0.0
"20200206",-0.02
"20200207",-0.07
"20200210",-0.1
"20200211",-0.06
"20200212",-0.04
"20200213",-0.06
"20200214",-0.07
"20200217",""
"20200218",-0.1
"20200219",-0.09
"20200220",-0.11
"20200221",-0.15
"20200224",-0.21
"20200225",-0.2
"20200226",-0.21
"20200227",-0.23
"20200228",-0.28
"20200302",-0.31
"20200303",-0.43
"20200304",-0.44
"20200305",-0.48
"20200306",-0.57
"20200309",-0.45
"20200310",-0.24
"20200311",-0.14
"20200312",-0.04
"20200313",0.04
"20200316",0.0
"20200317",0.39
"20200318",0.55
"20200319",0.62
"20200320",0.17
"20200323",-0.04
"20200324",-0.13
"20200325",-0.19
"20200326",-0.24
"20200327",-0.22
"20200330",-0.25
"20200331",-0.17
"20200401",-0.29
"20200402",-0.4
"20200403",-0.46
"20200406",-0.47
"20200407",-0.42
"20200408",-0.42
"20200409",-0.5
"20200410",""
"20200413",-0.5
"20200414",-0.53
"20200415",-0.56
"20200416",-0.42
"20200417",-0.36
"20200420",-0.31
"20200421",-0.38
"20200422",-0.43
"20200423",-0.44
"20200424",-0.51
"20200427",-0.5
"20200428",-0.52
"20200429",-0.51
"20200430",-0.43
"20200501",-0.42
"20200504",-0.43
"20200505",-0.44
"20200506",-0.38
"20200507",-0.45
"20200508",-0.43
"20200511",-0.4
"20200512",-0.4
"20200513",-0.43
"20200514",-0.43
"20200515",-0.45
"20200518",-0.44
"20200519",-0.45
"20200520",-0.48
"20200521",-0.46
"20200522",-0.46
"20200525",""
"20200526",-0.44
"20200527",-0.46
"20200528",-0.48
"20200529",-0.5
"20200601",-0.52
"20200602",-0.5
"20200603",-0.44
"20200604",-0.4
"20200605",-0.36
"20200608",-0.4
"20200609",-0.42
"20200610",-0.52
"20200611",-0.55
"20200612",-0.5
"20200615",-0.52
"20200616",-0.52
"20200617",-0.52
"20200618",-0.57
"20200619",-0.6
"20200622",-0.63
"20200623",-0.66
"20200624",-0.64
"20200625",-0.65
"20200626",-0.68
"20200629",-0.7
"20200630",-0.68
"20200701",-0.68
"20200702",-0.73
"20200703",""
"20200706",-0.76
"20200707",-0.78
"20200708",-0.75
"20200709",-0.77
"20200710",-0.76
"20200713",-0.78
"20200714",-0.78
"20200715",-0.77
"20200716",-0.79
"20200717",-0.82
"20200720",-0.84
"20200721",-0.87
"20200722",-0.88
"20200723",-0.9
"20200724",-0.92
"20200727",-0.9
"20200728",-0.92
"20200729",-0.95
"20200730",-0.97
"20200731",-1.0
"20200803",-1.02
"20200804",-1.05
"20200805",-1.06
"20200806",-1.08
"20200807",-1.04
"20200810",-1.02
"20200811",-0.99
"20200812",-0.98
"20200813",-0.96
"20200814",-0.94
"20200817",-0.97
"20200818",-1.01
"20200819",-0.99
"20200820",-0.97
"20200821",-1.0
"20200824",-1.02
"20200825",-1.01
"20200826",-1.03
"20200827",-0.99
"20200828",-1.03
"20200831",-1.08
"20200901",-1.08
"20200902",-1.07
"20200903",-1.02
"20200904",-0.98
"20200907",""
"20200908",-0.99
"20200909",-1.0
"20200910",-1.01
"20200911",-0.98
"20200914",-0.97
"20200915",-0.99
"20200916",-0.99
"20200917",-0.97
"20200918",-0.97
"20200921",-0.94
"20200922",-0.94
"20200923",-0.92
"20200924",-0.91
"20200925",-0.92
"20200928",-0.94
"20200929",-0.98
"20200930",-0.94
"20201001",-0.95
"20201002",-0.94
"20201005",-0.9
"20201006",-0.9
"20201007",-0.9
"20201008",-0.94
"20201009",-0.94
"20201012",""
"20201013",-0.96
"20201014",-0.96
"20201015",-0.95
"20201016",-0.95
"20201019",-0.93
"20201020",-0.91
"20201021",-0.91
"20201022",-0.89
"20201023",-0.9
"20201026",-0.91
"20201027",-0.92
"20201028",-0.91
"20201029",-0.86
"20201030",-0.82
"20201102",-0.84
"20201103",-0.82
"20201104",-0.86
"20201105",-0.87
"20201106",-0.82
"20201109",-0.77
"20201110",-0.78
"20201111",""
"20201112",-0.83
"20201113",-0.83
"20201116",-0.81
"20201117",-0.83
"20201118",-0.82
"20201119",-0.84
"20201120",-0.86
"20201123",-0.85
"20201124",-0.86
"20201125",-0.87
"20201126",""
"20201127",-0.91
"20201130",-0.93
"20201201",-0.89
"20201202",-0.9
"20201203",-0.94
"20201204",-0.92
"20201207",-0.94
"20201208",-0.97
"20201209",-0.96
"20201210",-0.96
"20201211",-0.97
"20201214",-0.98
"20201215",-0.99
"20201216",-1.0
"20201217",-1.0
"20201218",-1.0
"20201221",-1.0
"20201222",-1.01
"20201223",-1.01
"20201224",-1.03
"20201225",""
"20201228",-1.03
"20201229",-1.02
"20201230",-1.03
"20201231",-1.06
"20210101",""
"20210104",-1.08
"20210105",-1.07
"20210106",-1.02
"20210107",-1.01
"20210108",-0.93
"20210111",-0.91
"20210112",-0.93
"20210113",-0.96
"20210114",-0.94
"20210115",-0.99
"20210118",""
"20210119",-1.0
"20210120",-1.02
"20210121",-0.98
"20210122",-0.99
"20210125",-1.03
"20210126",-1.03
"20210127",-1.04
"20210128",-1.06
"20210129",-1.02
"20210201",-1.02
"20210202",-1.03
"20210203",-1.04
"20210204",-1.02
"20210205",-1.02
"20210208",-1.03
"20210209",-1.04
"20210210",-1.06
"20210211",-1.04
"20210212",-1.01
"20210215",""
"20210216",-0.94
"20210217",-0.92
"20210218",-0.87
"20210219",-0.8
"20210222",-0.79
"20210223",-0.79
"20210224",-0.79
"20210225",-0.6
"20210226",-0.71
"20210301",-0.71
"20210302",-0.78
"20210303",-0.74
"20210304",-0.66
"20210305",-0.66
"20210308",-0.62
"20210309",-0.66
"20210310",-0.73
"20210311",-0.74
"20210312",-0.62
"20210315",-0.65
"20210316",-0.68
"20210317",-0.67
"20210318",-0.56
"20210319",-0.57
"20210322",-0.64
"20210323",-0.66
"20210324",-0.69
"20210325",-0.69
"20210326",-0.67
"20210329",-0.63
"20210330",-0.62
"20210331",-0.63
"20210401",-0.66
"20210402",-0.64
"20210405",-0.62
"20210406",-0.65
"20210407",-0.66
"20210408",-0.69
"20210409",-0.64
"20210412",-0.64
"20210413",-0.69
"20210414",-0.69
"20210415",-0.77
"20210416",-0.77
"20210419",-0.73
"20210420",-0.74
"20210421",-0.76
"20210422",-0.76
"20210423",-0.76
"20210426",-0.78
"20210427",-0.76
"20210428",-0.78
"20210429",-0.77
"20210430",-0.76
"20210503",-0.79
"20210504",-0.81
"20210505",-0.88
"20210506",-0.87
"20210507",-0.89
"20210510",-0.91
"20210511",-0.89
"20210512",-0.85
"20210513",-0.85
"20210514",-0.88
"20210517",-0.9
"20210518",-0.88
"20210519",-0.8
"20210520",-0.78
"20210521",-0.8
"20210524",-0.83
"20210525",-0.86
"20210526",-0.82
"20210527",-0.81
"20210528",-0.84
"20210531",""
"20210601",-0.84
"20210602",-0.85
"20210603",-0.79
"20210604",-0.84
"20210607",-0.82
"20210608",-0.83
"20210609",-0.82
"20210610",-0.9
"20210611",-0.85
"20210614",-0.85
"20210615",-0.87
"20210616",-0.75
"20210617",-0.75
"20210618",-0.79
"20210621",-0.75
"20210622",-0.83
"20210623",-0.84
"20210624",-0.81
"20210625",-0.8
"20210628",-0.84
"20210629",-0.83
"20210630",-0.87
"20210701",-0.87
"20210702",-0.89
"20210705",""
"20210706",-0.94
"20210707",-0.95
"20210708",-0.92
"20210709",-0.91
"20210712",-0.95
"20210713",-0.94
"20210714",-0.97
"20210715",-1.01
"20210716",-1.02
"20210719",-1.05
"20210720",-1.03
"20210721",-0.98
"20210722",-1.01
"20210723",-1.05
"20210726",-1.11
"20210727",-1.13
"20210728",-1.15
"20210729",-1.15
"20210730",-1.16
"20210802",-1.17
"20210803",-1.19
"20210804",-1.16
"20210805",-1.1
"20210806",-1.06
"20210809",-1.04
"20210810",-1.04
"20210811",-1.07
"20210812",-1.05
"20210813",-1.08
"20210816",-1.1
"20210817",-1.07
"20210818",-1.05
"20210819",-1.04
"20210820",-1.01
"20210823",-1.02
"20210824",-1.01
"20210825",-1.0
"20210826",-0.99
"20210827",-1.08
"20210830",-1.08
"20210831",-1.03
"20210901",-1.03
"20210902",-1.03
"20210903",-1.01
"20210906",""
"20210907",-0.98
"20210908",-1.03
"20210909",-1.08
"20210910",-1.05
"20210913",-1.04
"20210914",-1.05
"20210915",-1.04
"20210916",-1.01
"20210917",-0.96
"20210920",-0.98
"20210921",-0.96
"20210922",-0.96
"20210923",-0.9
"20210924",-0.87
"20210927",-0.87
"20210928",-0.84
"20210929",-0.82
"20210930",-0.85
"20211001",-0.9
"20211004",-0.89
"20211005",-0.91
"20211006",-0.9
"20211007",-0.88
"20211008",-0.89
"20211011",""
"20211012",-0.9
"20211013",-0.96
"20211014",-1.0
"20211015",-0.97
"20211018",-0.95
"20211019",-0.89
"20211020",-0.92
"20211021",-0.96
"20211022",-0.98
"20211025",-1.02
"20211026",-1.06
"20211027",-1.11
"20211028",-1.0
"20211029",-0.96
"20211101",-0.92
"20211102",-0.95
"20211103",-0.93
"20211104",-1.03
"20211105",-1.09
"20211108",-1.11
"20211109",-1.17
"20211110",-1.14
"20211111",""
"20211112",-1.15
"20211115",-1.13
"20211116",-1.1
"20211117",-1.1
"20211118",-1.14
"20211119",-1.11
"20211122",-0.98
"20211123",-0.95
"20211124",-0.97
"20211125",""
"20211126",-1.07
"20211129",-1.02
"20211130",-1.07
"20211201",-1.01
"20211202",-1.03
"20211203",-1.08
"20211206",-1.01
"20211207",-0.99
"20211208",-1.0
"20211209",-0.98
"20211210",-0.96
"20211213",-0.98
"20211214",-0.93
"20211215",-0.92
"20211216",-0.98
"20211217",-0.97
"20211220",-0.96
"20211221",-0.96
"20211222",-1.01
"20211223",-0.97
"20211224",""
"20211227",-1.02
"20211228",-1.01
"20211229",-0.98
"20211230",-1.06
"20211231",-1.04
"20220103",-0.97
"20220104",-0.91
"20220105",-0.82
"20220106",-0.73
"20220107",-0.72
"20220110",-0.7
"20220111",-0.79
"20220112",-0.74
"20220113",-0.73
"20220114",-0.66
"20220117",""
"20220118",-0.59
"20220119",-0.57
"20220120",-0.5
"20220121",-0.59
"20220124",-0.63
"20220125",-0.63
"20220126",-0.53
"20220127",-0.59
"20220128",-0.66
"20220131",-0.65
"20220201",-0.62
"20220202",-0.63
"20220203",-0.56
"20220204",-0.48
"20220207",-0.48
"20220208",-0.46
"20220209",-0.48
"20220210",-0.42
"20220211",-0.51
"20220214",-0.5
"20220215",-0.43
"20220216",-0.43
"20220217",-0.46
"20220218",-0.49
"20220221",""
"20220222",-0.51
"20220223",-0.54
"20220224",-0.59
"20220225",-0.57
"20220228",-0.79
"20220301",-0.9
"20220302",-0.85
"20220303",-0.83
"20220304",-0.93
"20220307",-0.99
"20220308",-1.04
"20220309",-0.9
"20220310",-0.88
"20220311",-0.94
"20220314",-0.79
"20220315",-0.69
"20220316",-0.61
"20220317",-0.71
"20220318",-0.72
"20220321",-0.58
"20220322",-0.53
"20220323",-0.62
"20220324",-0.58
"20220325",-0.47
"20220328",-0.49
"20220329",-0.45
"20220330",-0.51
"20220331",-0.52
"20220401",-0.41
"20220404",-0.38
"20220405",-0.3
"20220406",-0.22
"20220407",-0.16
"20220408",-0.15
"20220411",-0.12
"20220412",-0.14
"20220413",-0.1
"20220414",-0.06
"20220415",""
"20220418",-0.07
"20220419",0.0
"20220420",-0.07
"20220421",-0.12
"20220422",-0.08
"20220425",-0.1
"20220426",-0.08
"20220427",-0.06
"20220428",-0.12
"20220429",0.01
"20220502",0.18
"20220503",0.14
"20220504",0.07
"20220505",0.18
"20220506",0.26
"20220509",0.3
"20220510",0.34
"20220511",0.21
"20220512",0.25
"20220513",0.24
"20220516",0.2
"20220517",0.27
"20220518",0.17
"20220519",0.25
"20220520",0.23
"20220523",0.26
"20220524",0.21
"20220525",0.19
"20220526",0.13
"20220527",0.11
"20220530",""
"20220531",0.21
"20220601",0.29
"20220602",0.26
"20220603",0.22
"20220606",0.28
"20220607",0.25
"20220608",0.28
"20220609",0.29
"20220610",0.39
"20220613",0.69
"20220614",0.89
"20220615",0.63
"20220616",0.66
"20220617",0.67
"20220620",""
"20220621",0.7
"20220622",0.62
"20220623",0.59
"20220624",0.57
"20220627",0.65
"20220628",0.72
"20220629",0.74
"20220630",0.65
"20220701",0.54
"20220704",""
"20220705",0.52
"20220706",0.64
"20220707",0.68
"20220708",0.72
"20220711",0.67
"20220712",0.64
"20220713",0.6
"20220714",0.62
"20220715",0.57
"20220718",0.59
"20220719",0.62
"20220720",0.66
"20220721",0.58
"20220722",0.43
"20220725",0.45
"20220726",0.45
"20220727",0.36
"20220728",0.2
"20220729",0.14
"20220801",0.09
"20220802",0.27
"20220803",0.23
"20220804",0.22
"20220805",0.37
"20220808",0.29
"20220809",0.33
"20220810",0.35
"20220811",0.4
"20220812",0.37
"20220815",0.35
"20220816",0.38
"20220817",0.43
"20220818",0.36
"20220819",0.43
"20220822",0.46
"20220823",0.47
"20220824",0.49
"20220825",0.43
"20220826",0.47
"20220829",0.54
"20220830",0.56
"20220831",0.67
"20220901",0.81
"20220902",0.73
"20220905",""
"20220906",0.85
"20220907",0.82
"20220908",0.88
"20220909",0.91
"20220912",0.95
"20220913",0.98
"20220914",0.95
"20220915",1.02
"20220916",1.07
"20220919",1.15
"20220920",1.17
"20220921",1.13
"20220922",1.29
"20220923",1.32
"20220926",1.56
"20220927",1.64
"20220928",1.39
"20220929",1.57
"20220930",1.68
"20221003",1.43
"20221004",1.38
"20221005",1.54
"20221006",1.61
"20221007",1.62
"20221010",""
"20221011",1.62
"20221012",1.62
"20221013",1.63
"20221014",1.59
"20221017",1.57
"20221018",1.6
"20221019",1.72
"20221020",1.73
"20221021",1.69
"20221024",1.66
"20221025",1.59
"20221026",1.6
"20221027",1.51
"20221028",1.51
"20221031",1.58
"20221101",1.56
"20221102",1.57
"20221103",1.74
"20221104",1.69
"20221107",1.69
"20221108",1.64
"20221109",1.7
